"filename", "language", "YAML", "Dart", "Markdown", "Ini", "XML", "JSON", "Groovy", "TypeScript", "Properties", "Swift", "C++", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\domain\controller_bridges\SettingsToAppSettingsControllerBridge.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Proyecto\citasnuevo\lib\domain\controller_bridges\UserSettingsToSettingsControllerBridge.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Proyecto\citasnuevo\lib\domain\entities\ApplicationSettingsEntity.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Proyecto\citasnuevo\lib\domain\entities\AuthScreenEntity.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\Proyecto\citasnuevo\lib\domain\entities\ChatEntity.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 86
"d:\Proyecto\citasnuevo\lib\domain\entities\MessageEntity.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Proyecto\citasnuevo\lib\domain\entities\ProfileCharacteristicsEntity.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Proyecto\citasnuevo\lib\domain\entities\ProfileEntity.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart", "Dart", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39, 166
"d:\Proyecto\citasnuevo\lib\domain\entities\RewardsEntity.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 36
"d:\Proyecto\citasnuevo\lib\domain\entities\SanctionsEntity.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 54
"d:\Proyecto\citasnuevo\lib\domain\entities\SettingsEntity.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Proyecto\citasnuevo\lib\domain\entities\UserCreatorEntity.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63
"d:\Proyecto\citasnuevo\lib\domain\entities\UserSettingsEntity.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"d:\Proyecto\citasnuevo\lib\domain\repository\DataManager.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 17
"d:\Proyecto\citasnuevo\lib\domain\repository\appSettingsRepo\appSettingsRepo.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\Proyecto\citasnuevo\lib\domain\repository\appSettingsRepo\userSettingsRepo.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\Proyecto\citasnuevo\lib\domain\repository\authRepo\authRepo.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Proyecto\citasnuevo\lib\domain\repository\chatRepo\chatRepo.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 32
"d:\Proyecto\citasnuevo\lib\domain\repository\reportRepo\reportRepo.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Proyecto\citasnuevo\lib\domain\repository\rewardRepository\rewardRepository.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"d:\Proyecto\citasnuevo\lib\domain\repository\sanctionsRepo\sanctionsRepo.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Proyecto\citasnuevo\lib\domain\repository\settingsRepository\SettingsRepository.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18
"d:\Proyecto\citasnuevo\lib\domain\repository\userCreatorRepo\userCreatorRepo.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 90
"d:\Proyecto\citasnuevo\lib\presentation\appSettingsPresentation\appSettingsPresentation.dart", "Dart", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 157
"d:\Proyecto\citasnuevo\lib\presentation\appSettingsPresentation\appSettingsScreen.dart", "Dart", 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 323
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 104
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 161
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatMessage.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 108
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatProfileDetailScreen.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 146
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatReportScreen.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 150
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatScreen.dart", "Dart", 0, 437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 469
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatTile.dart", "Dart", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 158
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatTilesScreen.dart", "Dart", 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 261
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\emptyChatWidget.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatPresentation.dart", "Dart", 0, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 408
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\ReportScreen.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 174
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\homeReportScreenPresentation.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41, 121
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart", "Dart", 0, 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 351
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\NavigationBar.dart", "Dart", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 243
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileCharacteristicsWidget.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileDescription.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfilePicture.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\profileWidget.dart", "Dart", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 253
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart", "Dart", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 40, 315
"d:\Proyecto\citasnuevo\lib\presentation\presentationDef.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 64
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Screens\ReactionScreen.dart", "Dart", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 234
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Widgets\RevealingCard.dart", "Dart", 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 368
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\reactionPresentation.dart", "Dart", 0, 442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49, 492
"d:\Proyecto\citasnuevo\lib\presentation\rewardScreenPresentation\rewardScreen.dart", "Dart", 0, 684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 696
"d:\Proyecto\citasnuevo\lib\presentation\rewardScreenPresentation\rewardScreenPresentation.dart", "Dart", 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 317
"d:\Proyecto\citasnuevo\lib\presentation\routes.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\Proyecto\citasnuevo\lib\presentation\sanctionsPresentation\sanctionsPresentation.dart", "Dart", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 114
"d:\Proyecto\citasnuevo\lib\presentation\sanctionsPresentation\sanctionsScreen.dart", "Dart", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 210
"d:\Proyecto\citasnuevo\lib\presentation\settingsPresentation\SettingsScreen.dart", "Dart", 0, 566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 578
"d:\Proyecto\citasnuevo\lib\presentation\settingsPresentation\settingsScreenPresentation.dart", "Dart", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 117
"d:\Proyecto\citasnuevo\lib\presentation\userCreatorPresentation\userCreatorPresentation.dart", "Dart", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34, 191
"d:\Proyecto\citasnuevo\lib\presentation\userCreatorPresentation\userCreatorScreen.dart", "Dart", 0, 1210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60, 1271
"d:\Proyecto\citasnuevo\lib\presentation\userSettingsPresentation\userPresentation.dart", "Dart", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 150
"d:\Proyecto\citasnuevo\lib\presentation\userSettingsPresentation\userSettingsScreen.dart", "Dart", 0, 605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47, 654
"d:\Proyecto\citasnuevo\lib\reordableList.dart", "Dart", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 29, 249
"d:\Proyecto\citasnuevo\lib\reordableLists\drag_info.dart", "Dart", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 49, 242
"d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_grid_mixin.dart", "Dart", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 53, 277
"d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_item.dart", "Dart", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 30, 187
