"filename", "language", "YAML", "Dart", "TypeScript", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\presentation\rewardScreenPresentation\rewardScreenPresentation.dart", "Dart", 0, 273, 0, 0, 44, 317
"d:\Proyecto\citasnuevo\lib\presentation\sanctionsPresentation\sanctionsPresentation.dart", "Dart", 0, 90, 0, 4, 20, 114
"d:\Proyecto\citasnuevo\lib\presentation\sanctionsPresentation\sanctionsScreen.dart", "Dart", 0, 205, 0, 0, 5, 210
"d:\Proyecto\citasnuevo\lib\presentation\settingsPresentation\SettingsScreen.dart", "Dart", 0, 439, 0, 0, 8, 447
"d:\Proyecto\citasnuevo\lib\presentation\settingsPresentation\settingsScreenPresentation.dart", "Dart", 0, 31, 0, 0, 8, 39
"d:\Proyecto\citasnuevo\lib\presentation\userCreatorPresentation\userCreatorPresentation.dart", "Dart", 0, 154, 0, 3, 34, 191
"d:\Proyecto\citasnuevo\lib\presentation\userCreatorPresentation\userCreatorScreen.dart", "Dart", 0, 1210, 0, 1, 60, 1271
"d:\Proyecto\citasnuevo\lib\presentation\userSettingsPresentation\userPresentation.dart", "Dart", 0, 122, 0, 2, 26, 150
"d:\Proyecto\citasnuevo\lib\presentation\userSettingsPresentation\userSettingsScreen.dart", "Dart", 0, 605, 0, 2, 47, 654
"d:\Proyecto\citasnuevo\lib\reordableList.dart", "Dart", 0, 188, 0, 32, 29, 249
"d:\Proyecto\citasnuevo\lib\reordableLists\drag_info.dart", "Dart", 0, 180, 0, 13, 49, 242
"d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_grid_mixin.dart", "Dart", 0, 188, 0, 36, 53, 277
"d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_item.dart", "Dart", 0, 139, 0, 18, 30, 187
"d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_sliver_grid_view.dart", "Dart", 0, 57, 0, 8, 13, 78
"d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_wrapper_widget.dart", "Dart", 0, 75, 0, 43, 26, 144
"d:\Proyecto\citasnuevo\lib\reordableLists\sliver_grid_with_reorderable_pos_delegate.dart", "Dart", 0, 25, 0, 2, 3, 30
"d:\Proyecto\citasnuevo\lib\reordableLists\test_grid.dart", "Dart", 0, 10, 0, 0, 2, 12
"d:\Proyecto\citasnuevo\lib\reordableLists\util.dart", "Dart", 0, 6, 0, 1, 3, 10
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 17, 0, 0, 0, 2, 19
"Total", "-", 17, 9608, 193, 369, 1407, 11594
