"filename", "language", "YAML", "Markdown", "Dart", "pip requirements", "Python", "Gradle", "Java", "C++", "Swift", "XML", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Java Properties", "Ini", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\functions\fetchUserProfiles\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\fetchUserProfiles\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\fetchUserProfiles\lib\main.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 182
"d:\Proyecto\citasnuevo\functions\fetchUserProfiles\pubspec.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Proyecto\citasnuevo\functions\findAvailableInstantChats\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\findAvailableInstantChats\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\findAvailableInstantChats\lib\main.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 6, 46
"d:\Proyecto\citasnuevo\functions\findAvailableInstantChats\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\getSingleUserProfile\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\getSingleUserProfile\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\getSingleUserProfile\lib\main.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 95
"d:\Proyecto\citasnuevo\functions\getSingleUserProfile\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\giveDailyReward\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\giveDailyReward\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\giveDailyReward\lib\main.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 86
"d:\Proyecto\citasnuevo\functions\giveDailyReward\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\googleNotificationAuthTokenrefresher\README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 46
"d:\Proyecto\citasnuevo\functions\googleNotificationAuthTokenrefresher\deps.gradle", "Gradle", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Proyecto\citasnuevo\functions\googleNotificationAuthTokenrefresher\src\Index.java", "Java", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 67
"d:\Proyecto\citasnuevo\functions\initVerificationProcess\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\initVerificationProcess\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\initVerificationProcess\lib\main.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 72
"d:\Proyecto\citasnuevo\functions\initVerificationProcess\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\notificationTokenManager\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
